Group.1,Accipitrinae,Alca torda,Anatidae,Aythya,Bucephala,Buteo,Cepphus grylle,Charadriiformes,Clangula hyemalis,Corvidae,Corvus,Fratercula arctica,Fringillidae,Fulmarus glacialis,Gruidae,Haliaeetus,Lagopus,Lagopus muta,Laridae,Melanitta deglandi,Milvus,Neognathae,Pelecaniformes,Phalacrocorax,Podicipedidae,Somateria,Somateria spectabilis,Tetraoninae,Uria,Uria aalge
K1,0,0,7601602,293986,0,0,0,0,0,0,0,92351,0,0,0,0,134553,0,0,40645,0,1190,69056,282104,0,0,777,619220,2042,1693270
KL,1144,0,441,0,0,0,0,0,0,0,0,0,0,0,0,1134,307794,0,0,0,0,107504,278,753510,0,0,0,1568,330891,0
L1,0,0,239411,0,1327,0,96439,105933,390,0,0,0,0,0,0,0,0,0,0,0,2677,14181,0,0,0,0,0,9148,67873,0
L2,129061,2050,1117700,0,0,0,2331013,865,0,3194,0,0,0,6835,284,0,44254,0,61397,0,0,33104,0,0,0,0,0,11023,39595,0
LU,86909,0,24092,0,2063,0,0,0,947,3284,1194,0,1979,0,0,0,74227,0,0,0,0,41827,0,0,0,0,497,240,1903,8945
Y1,376343,0,379646,0,0,3643,0,0,0,0,0,0,0,26787,439,0,36436,0,0,0,0,196899,0,0,0,0,0,73855,0,0
Z1,263627,0,515819,0,0,0,0,0,0,0,0,0,0,0,0,520,1839,390,384,0,0,60411,0,16789,201,432,212,105980,82957,0
