readsum,Group.1,Alburnus alburnus,Anatinae,Balaena mysticetus,Balaenoptera,Bilateria,Bimastos rubidus,Canis,Canis lupus,Cepphus grylle,Cervidae,Chamaedrilus sphagnetorum,Clangula hyemalis,Corvus,Cottus,Dicrostonyx torquatus,Epirinus aquilus,Gadidae,Gorilla gorilla,Homo heidelbergensis,Lagopus muta,Laridae,Lepus,Lepus granatensis,Leuciscidae,Leuciscinae,Lotidae,Melanogrammus aeglefinus,Merlangius merlangus,Molva molva,Mysticeti,Odobenus rosmarus,Odobenus rosmarus rosmarus,Odocoileinae,Odocoileus,Odocoileus hemionus hemionus,Ovis,Pan troglodytes,Phascolosoma esculenta,Phocidae,Phocoena phocoena,Pollachius virens,Pudu puda,Pusa,Pusa hispida,Rangifer tarandus,Somateria,Somateria spectabilis,Sus,Sus scrofa,Tetraoninae,Uria aalge,Ursus,Vulpes lagopus,Zoarcales
46851,BBO220BR1,2881,0,0,0,0,0,0,0,0,0,0,0,0,0,3278,0,0,0,0,0,0,0,0,0,2906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37786,0,0,0,0,0,0,0,0,0
46026,BBO220BR2,0,0,0,0,565,0,0,0,0,0,0,0,1194,0,2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41514,0,497,0,0,0,0,0,0,0
1156016,BBO221BR1,0,0,0,0,538,0,0,0,0,1219,0,0,0,0,0,0,20104,0,0,0,0,30663,0,0,0,0,68267,0,0,112421,12081,0,0,0,0,0,0,0,0,0,0,0,0,0,287000,0,0,0,0,0,0,306039,317684,0
19565,BBO221BR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,0,2061,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,5199,0,0,0,2394,0,0,3668,5636,0
9550,BBO221BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,914,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5928,0,0,0,0,0,0,426,992,0
36717,BBO222NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26273,BBO223NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6838,0,0,0,0,0,0,0,0,0
8279,BBO224NBR,8279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42726,BBO225NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39362,NOC013NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39362,0,0
66129,NOC039NBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44978,NOC040NBR,4446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
